"AnimalID","SampleReason","UrineNumber","BoxID","BoxPosition","NewBox","NewPosition"
"RRF006","PreEviction16",31466,76,4,1,1
"RRF006","PreEviction16",31491,76,10,1,2
"VGF001","FirstConc",31521,76,13,1,3
"VGF001","FirstConc",31468,76,19,1,4
"VGF001","RA",31440,76,21,1,5
"VGF001","FirstConc",31492,76,22,1,6
"VGF001","FirstConc",31538,76,24,1,7
"RRF006","PostEviction14",31563,76,26,1,8
"VGF001","FirstConc",31630,76,27,1,9
"RRF006","PreEviction16",31536,76,30,1,10
"RRF010","PreEviction16",31443,76,32,1,11
"RRF010","PreEviction16",31490,76,42,1,12
"RRF006","PreEviction16",31519,76,49,1,13
"RRF004","RA",31439,76,56,1,14
"RRF006","RA",31442,76,60,1,15
"RRF010","PostEviction14",31562,76,63,1,16
"RRF010","PreEviction16",31518,76,64,1,17
"RRF006","RA",31628,76,67,1,18
"RRF010","PreEviction16",31469,76,69,1,19
"RRF010","PreEviction16",31535,76,70,1,20
"RRF004","RA",31629,77,1,1,21
"RRF006","PostEviction14",31745,77,8,1,22
"VGF001","FirstConc",31729,77,12,1,23
"RRF004","RA",31802,77,20,1,24
"RRF006","RA",31801,77,28,1,25
"RRF010","PostEviction14",31746,77,34,1,26
"RRF004","PreEviction16",32107,78,28,1,27
"VGF001","PreEviction16",32035,78,31,1,28
"RRF006","FirstConc",32031,78,34,1,29
"RRF006","FirstConc",31898,78,44,1,30
"RRF004","RA",32030,78,55,1,31
"VGF001","PreEviction16",32108,78,75,1,32
"VGF001","PreEviction16",32193,79,13,1,33
"Z3F043","PostPair10",32312,79,17,1,34
"RRF004","FirstConc",32258,79,21,1,35
"VGF001","PostEviction14",32248,79,22,1,36
"Z3F043","PostPair10",32286,79,29,1,37
"PPF008","PostPair10",32228,79,35,1,38
"TMF002","PostPair10",32221,79,36,1,39
"TMF002","PostPair10",32287,79,40,1,40
"Z3F043","PostPair10",32227,79,41,1,41
"WEF005","PreEviction16",32220,79,43,1,42
"TMF002","PostPair10",32250,79,53,1,43
"RRF004","FirstConc",32251,79,54,1,44
"RRF004","FirstConc",32284,79,56,1,45
"RRF004","FirstConc",32219,79,64,1,46
"Z3F043","PostPair10",32260,79,69,1,47
"RRF004","FirstConc",32317,79,70,1,48
"PPF008","PostEviction14",32257,79,76,1,49
"Z3F043","PostPair10",32252,79,80,1,50
"TMF002","PostPair10",32262,80,7,1,51
"WEF005","PostEviction14",32247,80,9,1,52
"PPF008","PostEviction14",32428,80,15,1,53
"VGF001","PostEviction14",32437,80,23,1,54
"WEF005","PostEviction14",32423,80,31,1,55
"RRF004","FirstConc",32389,80,33,1,56
"Z3F043","PostPair10",32356,80,34,1,57
"Z3F043","RA",32421,80,35,1,58
"RRF004","PostEviction14",32427,80,49,1,59
"TMF002","PostPair10",32325,80,62,1,60
"RRF004","FirstConc",32359,80,68,1,61
"TMF002","RA",32438,80,80,1,62
"TMF002","PostPair10",32355,81,12,1,63
"PPF008","RA",32616,81,32,1,64
"Z3F043","RA",32618,81,74,1,65
"TMF002","RA",32625,82,8,1,66
"TMF002","RA",32813,82,12,1,67
"SOF001","PostPair10",32744,82,15,1,68
"SOF006","PostPair10",32743,82,21,1,69
"ARF028","FirstConc",32795,82,22,1,70
"DRF015","PostPair10",32741,82,24,1,71
"RSF008","PostPair10",32740,82,30,1,72
"Z3F043","RA",32812,82,32,1,73
"SOF001","PostPair10",32771,82,33,1,74
"DRF015","PostPair10",32810,82,39,1,75
"ARF028","FirstConc",32842,82,40,1,76
"PPF008","RA",32814,82,41,1,77
"ARF028","FirstConc",32724,82,42,1,78
