"UrineNumber","SampleReason","Date","BoxID","BoxPosition","Comments","Sampling_Cat","ExperimentalGroup","ExperimentalUnit","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineKingRemoval_DayDiff","UrineLastParturitionOirginalGroup_DayDiff","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount_Total","NextLitter_IndCount_Colony","UrineParturition_DayDiff","GestationStatus_Trimester","UrineDate"
31839,"PreIsol1",2024-01-24,77,80,"","Slow_Conc","BlackLabel",6,"TMF002","Queen","F","Helper","Evictor",2022-09-27,NA,64,0,-28,-180,-185,1,1,-270,"PreFirstConception",2022-03-31
33350,"PreIsol1",2024-01-24,84,17,"","Rapid_Conc","Stella",16,"TSF048","Queen","F","Breeder","Evictor",2022-08-16,NA,93,0,-28,-29,-37,9,1,-122,"NotPregnant",2022-07-18
30974,"PreIsol1",NA,NA,NA,NA,"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,26,0,-28,-100,-58,8,1,-143,"NotPregnant",2022-01-18
36049,"PreIsol1",2024-01-24,92,12,"","Slow_None","WicklowWolf",22,"VGF002","Queen","F","Breeder","Evictee",2023-09-28,NA,18,-1,-28,-238,-37,11,1,-122,"NotPregnant",2023-02-02
33346,"PreIsol1",2024-01-24,84,13,"","Rapid_Conc","Angol",13,"WAF002","Queen","F","Breeder","Evictor",2022-08-16,NA,82,0,-28,-29,-44,20,1,-129,"NotPregnant",2022-07-18
31845,"PreIsol1",2024-01-24,77,32,"","Rapid_Conc","BlueMoon",3,"WAF041","Sub","F","Helper","Evictor",2022-05-01,NA,51,0,-28,-31,-41,1,1,-126,"PreFirstConception",2022-03-31
31848,"PreIsol1",2024-01-24,77,61,"","Rapid_Conc","BlueMoon",3,"WAF045","Sub","F","Helper","Evictee",2022-05-01,NA,51,0,-28,-31,NA,NA,NA,NA,"NotPregnant",2022-03-31
31835,"PreIsol1",2024-01-24,77,53,"","Rapid_PreFirst","Chouffe",7,"WEF005","Queen","F","Breeder","Evictee",2022-04-29,NA,26,0,-28,-29,NA,NA,NA,NA,"NotPregnant",2022-03-31
31843,"PreIsol1",2024-01-24,77,46,"","Slow_Conc","BlackLabel",6,"Z3F043","Queen","F","Breeder","Evictee",2022-09-27,NA,64,0,-28,-180,-118,4,1,-203,"NotPregnant",2022-03-31
35909,"PreIsol14",2024-01-24,91,20,"","Rapid_Conc","Corona",19,"ABF002","Queen","F","Helper","Evictor",2023-03-03,NA,579,-12,-39,-40,-56,1,1,-141,"PreFirstConception",2023-01-22
32146,"PreIsol14",2024-01-24,79,5,"","Slow_PreFirst","Corbeau",9,"ARF028","Queen","F","Breeder","Evictee",2023-01-16,NA,47,-14,-42,-269,-55,7,1,-140,"NotPregnant",2022-04-22
36777,"PreIsol14",2024-01-24,95,75,"","NoEviction","Lion",25,"BEF006","Sub","F","Helper","InGroup",NA,NA,617,-14,-47,NA,-58,1,1,-143,"PreFirstConception",2023-03-24
36782,"PreIsol14",2024-01-24,95,12,"","NoEviction","Lion",25,"BEF036","Sub","F","Helper","InGroup",NA,NA,617,-14,-47,NA,-143,1,1,-228,"PreFirstConception",2023-03-24
30795,"PreIsol14",NA,NA,NA,NA,"NoEviction","Tusker",2,"COF014","Queen","F","Breeder","InGroup",NA,NA,22,-15,-43,NA,-46,5,1,-131,"NotPregnant",2022-01-03
30796,"PreIsol14",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF012","Sub","F","Helper","Evictee",2022-02-16,NA,308,-15,-43,-44,NA,NA,NA,NA,"NotPregnant",2022-01-03
30794,"PreIsol14",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF031","Sub","F","Helper","Evictor",2022-02-16,NA,308,-15,-43,-44,-55,1,1,-140,"PreFirstConception",2022-01-03
35891,"PreIsol14",2024-01-24,91,31,"","Rapid_PreFirst","Bitburger",18,"DRF004","Queen","F","Breeder","Evictee",2023-03-04,NA,22,-13,-40,-42,-140,9,1,-225,"NotPregnant",2023-01-21
32143,"PreIsol14",2024-01-24,78,60,"","Slow_PreFirst","Guinness",11,"DRF015","Queen","F","Breeder","Evictee",2022-10-14,NA,45,-14,-42,-175,-78,10,1,-163,"NotPregnant",2022-04-22
33187,"PreIsol14",2024-01-24,84,16,"","Rapid_Conc","Angol",13,"DVF047","Queen","F","Helper","Evictee",2022-08-16,NA,71,-11,-39,-40,NA,NA,NA,NA,"NotPregnant",2022-07-07
33185,"PreIsol14",2024-01-24,84,43,"","NoEviction","DevilsPeak",14,"DVF048","Sub","F","Helper","InGroup",NA,NA,71,-11,-39,NA,-72,1,1,-157,"PreFirstConception",2022-07-07
33180,"PreIsol14",2024-01-24,84,71,"","NoEviction","DevilsPeak",14,"DVF061","Sub","F","Helper","InGroup",NA,NA,71,-11,-39,NA,-395,1,1,-480,"PreFirstConception",2022-07-07
36771,"PreIsol14",2024-01-24,95,42,"","Slow_Conc","Leffe",17,"ERF002","Queen","F","Helper","Evictor",2023-08-12,NA,56,-15,-48,-142,-152,1,1,-237,"PreFirstConception",2023-03-23
35883,"PreIsol14",2024-01-24,91,22,"","Rapid_Conc","Corona",19,"GOF025","Queen","F","Breeder","Evictee",2023-03-03,NA,577,-14,-41,-42,NA,NA,NA,NA,"NotPregnant",2023-01-20
32246,"PreIsol14",2024-01-24,79,59,"","Rapid_Conc","Hoodoo",12,"GOF035","Sub","F","Helper","Evictor",2022-06-08,NA,413,-8,-36,-41,-47,1,1,-132,"PreFirstConception",2022-04-28
32218,"PreIsol14",2024-01-24,79,65,"","Rapid_Conc","Hoodoo",12,"GOF040","Sub","F","Helper","Evictee",2022-06-08,NA,412,-9,-37,-42,NA,NA,NA,NA,"NotPregnant",2022-04-27
30787,"PreIsol14",NA,NA,NA,NA,"NoEviction","Tusker",2,"KBF006","Queen","F","Helper","InGroup",NA,NA,22,-15,-43,NA,-55,1,1,-140,"PreFirstConception",2022-01-03
36770,"PreIsol14",2024-01-24,95,45,"","Slow_Conc","Leffe",17,"KGF002","Queen","F","Breeder","Evictee",2023-08-12,NA,56,-15,-48,-142,-54,9,1,-139,"NotPregnant",2023-03-23
35892,"PreIsol14",2024-01-24,91,68,"","Rapid_Conc","GhostShip",20,"MBF003","Sub","F","Helper","Evictor",2023-03-10,NA,22,-13,-40,-48,-50,1,1,-135,"PreFirstConception",2023-01-21
35894,"PreIsol14",2024-01-24,91,62,"","Rapid_PreFirst","Bitburger",18,"MBF004","Queen","F","Helper","Evictor",2023-03-04,NA,22,-13,-40,-42,-89,1,1,-174,"PreFirstConception",2023-01-21
35893,"PreIsol14",2024-01-24,91,46,"","Rapid_Conc","GhostShip",20,"MBF006","Sub","F","Helper","Evictee",2023-03-10,NA,22,-13,-40,-48,NA,NA,NA,NA,"NotPregnant",2023-01-21
33184,"PreIsol14",2024-01-24,84,50,"","Rapid_Conc","Stella",16,"MIF008","Queen","F","Helper","Evictee",2022-08-16,NA,82,-11,-39,-40,NA,NA,NA,NA,"NotPregnant",2022-07-07
33183,"PreIsol14",2024-01-24,84,63,"","Rapid_Conc","DjuDju",15,"MIF012","Sub","F","Helper","Evictee",2022-08-16,NA,82,-11,-39,-40,NA,NA,NA,NA,"NotPregnant",2022-07-07
33191,"PreIsol14",2024-01-24,84,26,"","Rapid_Conc","DjuDju",15,"MIF016","Sub","F","Helper","Evictor",2022-08-16,NA,82,-11,-39,-40,-54,1,1,-139,"PreFirstConception",2022-07-07
35931,"PreIsol14",2024-01-24,91,67,"","Rapid_Conc","Kasteel",21,"ORF005","Sub","F","Helper","Evictor",2023-03-08,NA,8,-11,-38,-44,-55,1,1,-140,"PreFirstConception",2023-01-23
35924,"PreIsol14",2024-01-24,91,39,"","Slow_None","WicklowWolf",22,"ORF017","Queen","F","Helper","Evictor",2023-09-28,NA,8,-11,-38,-248,NA,NA,NA,NA,"NotPregnant",2023-01-23
35829,"PreIsol14",2024-01-24,91,30,"","Rapid_Conc","Kasteel",21,"ORF018","Sub","F","Helper","Evictee",2023-03-08,NA,2,-17,-44,-50,NA,NA,NA,NA,"NotPregnant",2023-01-17
31707,"PreIsol14",2024-01-24,78,7,"","Rapid_Conc","Delirium",8,"PPF007","Sub","F","Helper","Evictor",2022-04-29,NA,14,-12,-40,-41,-55,1,1,-140,"PreFirstConception",2022-03-19
31706,"PreIsol14",2024-01-24,77,72,"","Rapid_PreFirst","Chouffe",7,"PPF008","Queen","F","Helper","Evictor",2022-04-29,NA,14,-12,-40,-41,-96,1,1,-181,"PreFirstConception",2022-03-19
31701,"PreIsol14",2024-01-24,77,62,"","Rapid_Conc","Delirium",8,"PPF009","Sub","F","Helper","Evictee",2022-04-29,NA,14,-12,-40,-41,NA,NA,NA,NA,"NotPregnant",2022-03-19
30790,"PreIsol14",NA,NA,NA,NA,"Slow_Conc","Licher",1,"RRF004","Queen","F","Helper","Evictor",2022-04-28,NA,11,-15,-43,-115,-124,1,1,-209,"PreFirstConception",2022-01-03
30791,"PreIsol14",NA,NA,NA,NA,"Rapid_PreFirst","DarlingBrew",4,"RRF006","Sub","F","Helper","Evictor",2022-03-08,NA,11,-15,-43,-64,-95,1,1,-180,"PreFirstConception",2022-01-03
30792,"PreIsol14",NA,NA,NA,NA,"Rapid_PreFirst","DarlingBrew",4,"RRF010","Sub","F","Helper","Evictee",2022-03-08,NA,11,-15,-43,-64,NA,NA,NA,NA,"NotPregnant",2022-01-03
32235,"PreIsol14",2024-01-24,79,60,"","Slow_PreFirst","Guinness",11,"RSF008","Queen","F","Helper","Evictor",2022-10-14,NA,51,-8,-36,-169,-291,1,1,-376,"PreFirstConception",2022-04-28
32233,"PreIsol14",NA,NA,NA,NA,"Slow_PreFirst","Corbeau",9,"SOF001","Queen","F","Helper","Evictor",2023-01-16,NA,53,-8,-36,-263,-307,1,1,-392,"PreFirstConception",2022-04-28
32239,"PreIsol14",2024-01-24,79,55,"","Rapid_PreFirst","Firestone",10,"SOF002","Sub","F","Helper","Evictee",2022-06-07,NA,53,-8,-36,-40,NA,NA,NA,NA,"NotPregnant",2022-04-28
32234,"PreIsol14",2024-01-24,80,6,"","Rapid_PreFirst","Firestone",10,"SOF006","Sub","F","Helper","Evictor",2022-06-07,NA,53,-8,-36,-40,-150,NA,NA,-236,"NotPregnant",2022-04-28
36746,"PreIsol14",2024-01-24,96,9,"","Rapid_Conc","Asahi",23,"TIF025","Sub","F","Helper","Evictee",2023-05-10,NA,168,-16,-49,-49,NA,NA,NA,NA,"NotPregnant",2023-03-22
36750,"PreIsol14",2024-01-24,95,13,"","Rapid_Conc","Featherstone",24,"TIF036","Sub","F","Helper","Evictor",2023-05-14,NA,168,-16,-49,-53,-61,1,1,-146,"PreFirstConception",2023-03-22
36755,"PreIsol14",2024-01-24,95,53,"","Rapid_Conc","Featherstone",24,"TIF038","Sub","F","Helper","Evictee",2023-05-14,NA,168,-16,-49,-53,NA,NA,NA,NA,"NotPregnant",2023-03-22
36751,"PreIsol14",2024-01-24,95,40,"","Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,168,-16,-49,-49,-62,1,1,-147,"PreFirstConception",2023-03-22
31728,"PreIsol14",2024-01-24,77,47,"","Slow_Conc","BlackLabel",6,"TMF002","Queen","F","Helper","Evictor",2022-09-27,NA,54,-10,-38,-190,-195,1,1,-280,"PreFirstConception",2022-03-21
33145,"PreIsol14",2024-01-24,84,30,"","Rapid_Conc","Stella",16,"TSF048","Queen","F","Breeder","Evictor",2022-08-16,NA,79,-14,-42,-43,-51,9,1,-136,"NotPregnant",2022-07-04
30793,"PreIsol14",NA,NA,NA,NA,"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,11,-15,-43,-115,-73,8,1,-158,"NotPregnant",2022-01-03
35890,"PreIsol14",2024-01-24,91,50,"","Slow_None","WicklowWolf",22,"VGF002","Queen","F","Breeder","Evictee",2023-09-28,NA,6,-13,-40,-250,-49,11,1,-134,"NotPregnant",2023-01-21
33141,"PreIsol14",2024-01-24,84,60,"","Rapid_Conc","Angol",13,"WAF002","Queen","F","Breeder","Evictor",2022-08-16,NA,68,-14,-42,-43,-58,20,1,-143,"NotPregnant",2022-07-04
31845,"PreIsol14",2024-01-24,77,32,"","Rapid_Conc","BlueMoon",3,"WAF041","Sub","F","Helper","Evictor",2022-05-01,NA,51,0,-28,-31,-41,1,1,-126,"PreFirstConception",2022-03-31
31848,"PreIsol14",2024-01-24,77,61,"","Rapid_Conc","BlueMoon",3,"WAF045","Sub","F","Helper","Evictee",2022-05-01,NA,51,0,-28,-31,NA,NA,NA,NA,"NotPregnant",2022-03-31
31670,"PreIsol14",2024-01-24,76,5,"","Rapid_PreFirst","Chouffe",7,"WEF005","Queen","F","Breeder","Evictee",2022-04-29,NA,12,-14,-42,-43,NA,NA,NA,NA,"NotPregnant",2022-03-17
31669,"PreIsol14",2024-01-24,76,31,"","Slow_Conc","BlackLabel",6,"Z3F043","Queen","F","Breeder","Evictee",2022-09-27,NA,50,-14,-42,-194,-132,4,1,-217,"NotPregnant",2022-03-17
36314,"Isolation",2024-01-24,93,38,"","Rapid_Conc","Corona",19,"ABF002","Queen","F","Helper","Evictor",2023-03-03,NA,607,16,-11,-12,-28,1,1,-113,"PreFirstConception",2023-02-19
32527,"Isolation",2024-01-24,81,69,"","Slow_PreFirst","Corbeau",9,"ARF028","Queen","F","Breeder","Evictee",2023-01-16,NA,75,14,-14,-241,-27,7,1,-112,"NotPregnant",2022-05-20
37193,"Isolation",2024-01-24,97,5,"","NoEviction","Lion",25,"BEF006","Sub","F","Helper","InGroup",NA,NA,646,15,-18,NA,-29,1,1,-114,"PreFirstConception",2023-04-22
37192,"Isolation",2024-01-24,96,69,"","NoEviction","Lion",25,"BEF036","Sub","F","Helper","InGroup",NA,NA,646,15,-18,NA,-114,1,1,-199,"PreFirstConception",2023-04-22
31144,"Isolation",NA,NA,NA,NA,"NoEviction","Tusker",2,"COF014","Queen","F","Breeder","InGroup",NA,NA,52,15,-13,NA,-16,5,1,-101,"NotPregnant",2022-02-02
31136,"Isolation",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF012","Sub","F","Helper","Evictee",2022-02-16,NA,338,15,-13,-14,NA,NA,NA,NA,"NotPregnant",2022-02-02
31139,"Isolation",NA,NA,NA,NA,"Rapid_Conc","Trolls",5,"CUF031","Sub","F","Helper","Evictor",2022-02-16,NA,338,15,-13,-14,-25,1,1,-110,"PreFirstConception",2022-02-02
36302,"Isolation",2024-01-24,94,7,"","Rapid_PreFirst","Bitburger",18,"DRF004","Queen","F","Breeder","Evictee",2023-03-04,NA,51,16,-11,-13,-111,9,1,-196,"NotPregnant",2023-02-19
32524,"Isolation",2024-01-24,81,48,"","Slow_PreFirst","Guinness",11,"DRF015","Queen","F","Breeder","Evictee",2022-10-14,NA,73,14,-14,-147,-50,10,1,-135,"NotPregnant",2022-05-20
33557,"Isolation",2024-01-24,85,19,"","Rapid_Conc","Angol",13,"DVF047","Queen","F","Helper","Evictee",2022-08-16,NA,97,15,-13,-14,NA,NA,NA,NA,"NotPregnant",2022-08-02
33549,"Isolation",2024-01-24,85,79,"","NoEviction","DevilsPeak",14,"DVF048","Sub","F","Helper","InGroup",NA,NA,97,15,-13,NA,-46,1,1,-131,"PreFirstConception",2022-08-02
33550,"Isolation",2024-01-24,85,43,"","NoEviction","DevilsPeak",14,"DVF061","Sub","F","Helper","InGroup",NA,NA,97,15,-13,NA,-369,1,1,-454,"PreFirstConception",2022-08-02
37198,"Isolation",2024-01-24,96,67,"","Slow_Conc","Leffe",17,"ERF002","Queen","F","Helper","Evictor",2023-08-12,NA,86,15,-18,-112,-122,1,1,-207,"PreFirstConception",2023-04-22
36303,"Isolation",2024-01-24,94,5,"","Rapid_Conc","Corona",19,"GOF025","Queen","F","Breeder","Evictee",2023-03-03,NA,607,16,-11,-12,NA,NA,NA,NA,"NotPregnant",2023-02-19
32528,"Isolation",2024-01-24,81,68,"","Rapid_Conc","Hoodoo",12,"GOF035","Sub","F","Helper","Evictor",2022-06-08,NA,435,14,-14,-19,-25,1,1,-110,"PreFirstConception",2022-05-20
32523,"Isolation",2024-01-24,81,59,"","Rapid_Conc","Hoodoo",12,"GOF040","Sub","F","Helper","Evictee",2022-06-08,NA,435,14,-14,-19,NA,NA,NA,NA,"NotPregnant",2022-05-20
31132,"Isolation",NA,NA,NA,NA,"NoEviction","Tusker",2,"KBF006","Queen","F","Helper","InGroup",NA,NA,52,15,-13,NA,-25,1,1,-110,"PreFirstConception",2022-02-02
37199,"Isolation",2024-01-24,97,1,"","Slow_Conc","Leffe",17,"KGF002","Queen","F","Breeder","Evictee",2023-08-12,NA,86,15,-18,-112,-24,9,1,-109,"NotPregnant",2023-04-22
36304,"Isolation",2024-01-24,93,49,"","Rapid_Conc","GhostShip",20,"MBF003","Sub","F","Helper","Evictor",2023-03-10,NA,51,16,-11,-19,-21,1,1,-106,"PreFirstConception",2023-02-19
36301,"Isolation",2024-01-24,93,77,"","Rapid_PreFirst","Bitburger",18,"MBF004","Queen","F","Helper","Evictor",2023-03-04,NA,51,16,-11,-13,-60,1,1,-145,"PreFirstConception",2023-02-19
36309,"Isolation",2024-01-24,93,15,"","Rapid_Conc","GhostShip",20,"MBF006","Sub","F","Helper","Evictee",2023-03-10,NA,51,16,-11,-19,NA,NA,NA,NA,"NotPregnant",2023-02-19
33554,"Isolation",2024-01-24,86,7,"","Rapid_Conc","Stella",16,"MIF008","Queen","F","Helper","Evictee",2022-08-16,NA,108,15,-13,-14,NA,NA,NA,NA,"NotPregnant",2022-08-02
33556,"Isolation",2024-01-24,85,20,"","Rapid_Conc","DjuDju",15,"MIF012","Sub","F","Helper","Evictee",2022-08-16,NA,108,15,-13,-14,NA,NA,NA,NA,"NotPregnant",2022-08-02
