"ObsRef","ObsFileID","PrevObs_TimeDiff","ObsType","DataSource","ColonyRef","Colony","ObsDateTime_Start","ObsDate_Start","ObsTime_Start","ObsDuration_Total_S","ObsDuration_Total_Hms","ObsDuration_Cont_S","ObsDateTime_Stop","ObsDate_Stop","ObsTime_Stop","TotalScan","TotalScan_Est","ReplicatesCount","TotalScan_Calc"
7053,1143,NA,"Scan","MR_RawData",183,"West",2019-10-18 11:05:46,2019-10-18,11:05:46.824,7122,01:58:42,3320,2019-10-18 13:04:28,2019-10-18,"13:04:28",28,30,1,27
7054,1144,-9.34581666390101,"Scan","MR_RawData",183,"West",2019-10-18 12:55:08,2019-10-18,12:55:08.075,14160,03:56:00,6672,2019-10-18 16:51:08,2019-10-18,"16:51:08",60,59,1,60
8443,2508,NA,"Scan","MR_RawData",183,"West",2022-01-31 07:15:56,2022-01-31,07:15:56.585,10560,02:56:00,3375,2022-01-31 10:11:56,2022-01-31,"10:11:56",45,44,1,45
8408,2473,-1.16161666711171,"Scan","MR_RawData",183,"West",2022-01-31 10:10:46,2022-01-31,10:10:46.888,10560,02:56:00,3352,2022-01-31 13:06:46,2022-01-31,"13:06:46",45,44,1,45
8524,2589,NA,"Scan","MR_RawData",183,"West",2022-07-14 07:56:28,2022-07-14,07:56:28.025,8400,02:20:00,2896,2022-07-14 10:16:28,2022-07-14,"10:16:28",36,35,1,35
8525,2590,-0.9933833360672,"Scan","MR_RawData",183,"West",2022-07-14 10:15:28,2022-07-14,10:15:28.422,10560,02:56:00,6193,2022-07-14 13:11:28,2022-07-14,"13:11:28",45,44,1,45
6753,861,NA,"Scan","MR_RawData",34,"Zunki 3",2019-02-04 15:00:26,2019-02-04,15:00:26.778,6960,01:56:00,2058,2019-02-04 16:56:26,2019-02-04,"16:56:26",30,29,1,29
6754,862,-2.83733332951864,"Scan","MR_RawData",34,"Zunki 3",2019-02-04 16:53:36,2019-02-04,16:53:36.538,7680,02:08:00,2210,2019-02-04 19:01:36,2019-02-04,"19:01:36",33,32,1,32
6818,922,NA,"Scan","MR_RawData",34,"Zunki 3",2019-04-04 11:53:48,2019-04-04,11:53:48.783,7200,02:00:00,4053,2019-04-04 13:53:48,2019-04-04,"13:53:48",31,30,1,31
6819,923,-1.02071666717529,"Scan","MR_RawData",34,"Zunki 3",2019-04-04 13:52:47,2019-04-04,13:52:47.540,14160,03:56:00,5236,2019-04-04 17:48:47,2019-04-04,"17:48:47",60,59,1,60
