"SampleID","NPACID","BatchID","MS_Sequ","Hormone","Processed","StdCurve_Range","HN","Saturated","QTcat","MS_Conc","ExtractionSG_DayDiff","SG_Day","CF_SG","MS_Conc_SG","UrineVolume","CF_Urine","MS_Conc_SG_U","Conc","ConcType"
0,3732,44,13,"E2","Yes","Low",NA,NA,"Q",42.90249,NA,NA,NA,NA,100,1,NA,NA,"C"
1,3733,44,14,"E2","Yes","Low",NA,NA,"ND",0,NA,NA,NA,NA,100,1,NA,0,"C"
32075,3734,44,15,"E2","Yes","Low",NA,NA,"ND",0,74,1.00335,1.37054272929434,0,100,1,0,0,"C"
32159,3735,44,16,"E2","Yes","Low",NA,NA,"ND",0,74,1.004,1.14782953578407,0,100,1,0,0,"C"
32185,3736,44,17,"E2","Yes","Low",NA,NA,"ND",0,74,1.0027,1.70048820116164,0,100,1,0,0,"C"
32076,3737,44,18,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
32156,3738,44,19,"E2","Yes","Low",NA,NA,"ND",0,74,1.0027,1.70048820116164,0,100,1,0,0,"C"
32183,3739,44,20,"E2","Yes","Low",NA,NA,"ND",0,74,1.00335,1.37054272929434,0,100,1,0,0,"C"
32065,3740,44,21,"E2","Yes","Low",2.90326028861571,NA,"ND",0.09384,74,1.004,1.14782953578407,0.107712323637977,100,1,0.107712323637977,0,"C"
32158,3741,44,22,"E2","Yes","Low",NA,NA,"ND",0,74,1.0029,1.58321315280567,0,100,1,0,0,"C"
32178,3742,44,23,"E2","Yes","Low",3.27682926829268,NA,"D",0.14747,74,1.0027,1.70048820116164,0.250770995025307,100,1,0.250770995025307,0,"C"
32066,3743,44,24,"E2","Yes","Low",NA,NA,"Q",12.49722,74,1.0044,1.04348139616735,13.0406165738105,100,1,13.0406165738105,13.0406165738105,"C"
32151,3744,44,26,"E2","Yes","Low",NA,NA,"Q",3.45695,74,1.0042,1.09317098646103,3.77903744164645,100,1,3.77903744164645,3.77903744164645,"C"
32179,3745,44,27,"E2","Yes","Low",NA,NA,"Q",16.01217,74,1.0031,1.48107036875359,23.7151505264452,100,1,23.7151505264452,23.7151505264452,"C"
32070,3746,44,28,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
32150,3747,44,29,"E2","Yes","Low",2.01557632398754,NA,"ND",0.23587,74,1.0072,0.637683075435588,0.150410307002992,100,1,0.150410307002992,0,"C"
32184,3748,44,30,"E2","Yes","Low",NA,NA,"ND",0,74,1.0027,1.70048820116164,0,100,1,0,0,"C"
32067,3749,44,31,"E2","Yes","Low",NA,NA,"Q",50.03881,74,1.00335,1.37054272929434,68.5803272280409,100,1,68.5803272280409,68.5803272280409,"C"
32154,3750,44,32,"E2","Yes","Low",NA,NA,"Q",54.58889,74,1.0031,1.48107036875359,80.8499874421493,100,1,80.8499874421493,80.8499874421493,"C"
32180,3751,44,33,"E2","Yes","Low",NA,NA,"Q",67.03731,74,1.0044,1.04348139616735,69.9521858341034,100,1,69.9521858341034,69.9521858341034,"C"
32074,3752,44,34,"E2","Yes","Low",NA,NA,"ND",0,74,1.00416,1.10368224594624,0,100,1,0,0,"C"
32149,3753,44,35,"E2","Yes","Low",NA,NA,"ND",0,74,1.0051,0.90025845943847,0,100,1,0,0,"C"
32190,3754,44,36,"E2","Yes","Low",NA,NA,"ND",0,74,1.0042,1.09317098646103,0,100,1,0,0,"C"
32068,3755,44,37,"E2","Yes","Low",2.10690959092472,NA,"ND",0.07032,74,1.00465,0.9873802458358,0.0694325788871734,100,1,0.0694325788871734,0,"C"
32161,3756,44,39,"E2","Yes","Low",NA,NA,"ND",0,74,1.0072,0.637683075435588,0,100,1,0,0,"C"
32186,3757,44,40,"E2","Yes","Low",NA,NA,"ND",0,74,1.0027,1.70048820116164,0,100,1,0,0,"C"
32521,3758,44,41,"E2","Yes","Low",10.5931656995487,NA,"Q",0.36857,74,1.0031,1.48107036875359,0.545878105811512,100,1,0.545878105811512,0.545878105811512,"C"
32670,3759,44,42,"E2","Yes","Low",NA,NA,"ND",0,74,1.0038,1.20824161661481,0,100,1,0,0,"C"
32692,3760,44,43,"E2","Yes","Low",NA,NA,"ND",0,74,1.0036,1.27536615087118,0,100,1,0,0,"C"
32527,3761,44,44,"E2","Yes","Low",5.85560538116592,NA,"D",0.13054,74,1.0025,1.83652725725456,0.23974026816201,100,1,0.23974026816201,0,"C"
32672,3762,44,45,"E2","Yes","Low",8.05272108843537,NA,"Q",0.36497,74,1.0029,1.58321315280567,0.577825304379486,100,1,0.577825304379486,0.577825304379486,"C"
32693,3763,44,46,"E2","Yes","Low",5.79166666666667,NA,"D",0.16443,74,1.0036,1.27536615087118,0.209708456187747,100,1,0.209708456187747,0,"C"
32534,3764,44,47,"E2","Yes","Low",NA,NA,"ND",0,74,1.0023,1.9962252796245,0,100,1,0,0,"C"
32671,3765,44,48,"E2","Yes","Low",NA,NA,"ND",0,74,1.0025,1.83652725725456,0,100,1,0,0,"C"
32695,3766,44,49,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
32522,3767,44,50,"E2","Yes","Low",NA,NA,"ND",0,74,1.0038,1.20824161661481,0,100,1,0,0,"C"
32669,3768,44,52,"E2","Yes","Low",NA,NA,"ND",0,74,1.0025,1.83652725725456,0,100,1,0,0,"C"
32694,3769,44,53,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
32529,3770,44,54,"E2","Yes","Low",NA,NA,"ND",0,74,1.004,1.14782953578407,0,100,1,0,0,"C"
32666,3771,44,55,"E2","Yes","Low",NA,NA,"ND",0,74,1.0036,1.27536615087118,0,100,1,0,0,"C"
32691,3772,44,56,"E2","Yes","Low",NA,NA,"ND",0,74,1.004,1.14782953578407,0,100,1,0,0,"C"
32524,3773,44,57,"E2","Yes","Low",NA,NA,"Q",5.53845,74,1.00465,0.9873802458358,5.46855612254928,100,1,5.46855612254928,5.46855612254928,"C"
32668,3774,44,58,"E2","Yes","Low",NA,NA,"Q",8.64544,74,1.0018,2.55073230174235,22.0522030707754,100,1,22.0522030707754,22.0522030707754,"C"
32690,3775,44,59,"E2","Yes","Low",NA,NA,"Q",60.59131,74,1.00473333333333,0.969996790803458,58.7733762505775,100,1,58.7733762505775,58.7733762505775,"C"
32528,3776,44,60,"E2","Yes","Low",NA,NA,"ND",0,74,1.0055,0.834785116933862,0,100,1,0,0,"C"
32667,3777,44,61,"E2","Yes","Low",NA,NA,"ND",0,74,1.0057,0.805494411076537,0,100,1,0,0,"C"
32689,3778,44,62,"E2","Yes","Low",NA,NA,"ND",0,74,1.0036,1.27536615087118,0,100,1,0,0,"C"
32523,3779,44,63,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
32674,3780,44,65,"E2","Yes","Low",NA,NA,"ND",0,74,1.0029,1.58321315280567,0,100,1,0,0,"C"
32700,3781,44,66,"E2","Yes","Low",5.68298507462687,NA,"D",0.21998,74,1.0036,1.27536615087118,0.280555045868641,100,1,0.280555045868641,0,"C"
33557,3782,44,67,"E2","Yes","Low",2.1897265948633,NA,"ND",0.04809,74,1.0025,1.83652725725456,0.0883185958013716,100,1,0.0883185958013716,0,"C"
33706,3783,44,68,"E2","Yes","Low",NA,NA,"ND",0,74,1.0036,1.27536615087118,0,100,1,0,0,"C"
33741,3784,44,69,"E2","Yes","Low",NA,NA,"ND",0,74,1.0031,1.48107036875359,0,100,1,0,0,"C"
33551,3785,44,70,"E2","Yes","Low",NA,NA,"Q",14.2425,74,1.0029,1.58321315280567,22.5489133288348,100,1,22.5489133288348,22.5489133288348,"C"
33731,3787,44,72,"E2","Yes","Low",NA,NA,"Q",77.57084,74,1.0031,1.48107036875359,114.887872603326,100,1,114.887872603326,114.887872603326,"C"
33549,3788,44,73,"E2","Yes","Low",NA,NA,"ND",0,74,1.003,1.53043938104549,0,100,1,0,0,"C"
33710,3789,44,74,"E2","Yes","Low",10.7574468085106,NA,"Q",0.78129,74,1.004,1.14782953578407,0.896787738012737,100,1,0.896787738012737,0.896787738012737,"C"
33737,3790,44,75,"E2","Yes","Low",NA,NA,"Q",5.83192,74,1.00486666666667,0.9434215362609,5.50195892575067,100,1,5.50195892575067,5.50195892575067,"C"
33550,3791,44,76,"E2","Yes","Low",2.07712908409213,NA,"ND",0.0572,74,1.00335,1.37054272929434,0.0783950441156362,100,1,0.0783950441156362,0,"C"
33704,3792,44,78,"E2","Yes","Low",NA,NA,"ND",0,74,1.0072,0.637683075435588,0,100,1,0,0,"C"
33732,3793,44,79,"E2","Yes","Low",4.03771361225692,NA,"D",0.16964,74,1.0031,1.48107036875359,0.25124877735536,100,1,0.25124877735536,0,"C"
33556,3794,44,80,"E2","Yes","Low",NA,NA,"ND",0,74,1.00465,0.9873802458358,0,100,1,0,0,"C"
33703,3795,44,81,"E2","Yes","Low",NA,NA,"ND",0,74,1.0029,1.58321315280567,0,100,1,0,0,"C"
33740,3796,44,82,"E2","Yes","Low",NA,NA,"ND",0,74,1.0027,1.70048820116164,0,100,1,0,0,"C"
