"ExperimentalGroup","ExperimentalUnit","Treatment","BS_Original","AnimalID"
"BlueMoon",3,"Sub","Helper","WAF041"
"BlueMoon",3,"Sub","Helper","WAF045"
"Trolls",5,"Sub","Helper","CUF012"
"Trolls",5,"Sub","Helper","CUF031"
"Hoodoo",12,"Sub","Helper","GOF035"
"Hoodoo",12,"Sub","Helper","GOF040"
