"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",74,-92,"FirstConc",NA,NA,32251,1,44,100
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",75,-91,"FirstConc",NA,NA,32258,1,35,100
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",77,-89,"FirstConc",NA,NA,32284,1,45,50
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",79,-87,"FirstConc",NA,NA,32317,1,48,50
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",82,-84,"FirstConc",NA,NA,32359,1,61,50
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",84,-82,"FirstConc",NA,NA,32389,1,56,50
"Slow_Conc",1,"Licher","Queen","RRF004","Helper","Evictor",87,-79,"PostEviction14",NA,NA,32427,1,59,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",1,-241,"PostPair10",NA,NA,32221,1,39,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",2,-240,"PostPair10",NA,NA,32250,1,43,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",3,-239,"PostPair10",NA,NA,32262,1,51,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",5,-237,"PostPair10",NA,NA,32287,1,40,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",7,-235,"PostPair10",NA,NA,32325,1,60,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",10,-232,"PostPair10",NA,NA,32355,1,63,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",15,-227,"RA",NA,NA,32438,1,62,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",29,-213,"RA",NA,NA,32625,1,66,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",45,-197,"RA",NA,NA,32813,1,67,100
