"ExperimentalGroup","AnimalID","Treatment","UrineDate","UrineEviction_DayDiff","UrineNumber"
"Leffe","ERF002","Queen",2023-07-31,-12,38441
"Leffe","ERF002","Queen",2023-08-07,-5,38511
"Leffe","ERF002","Queen",2023-08-13,1,38567
"Leffe","ERF002","Queen",2023-08-16,4,38598
"Leffe","ERF002","Queen",2023-08-19,7,38643
"Leffe","ERF002","Queen",2023-08-21,9,38665
"Leffe","ERF002","Queen",2023-08-23,11,38698
"Leffe","ERF002","Queen",2023-08-25,13,38727
"Leffe","ERF002","Queen",2023-09-01,20,38764
"Leffe","KGF002","Queen",2023-03-23,-142,36770
"Leffe","KGF002","Queen",2023-04-07,-127,36981
"Leffe","KGF002","Queen",2023-04-22,-112,37199
"Leffe","KGF002","Queen",2023-05-02,-102,37296
"Leffe","KGF002","Queen",2023-05-08,-96,37386
"Leffe","KGF002","Queen",2023-05-11,-93,37438
"Leffe","KGF002","Queen",2023-05-13,-91,37461
"Leffe","KGF002","Queen",2023-05-15,-89,37493
"Leffe","KGF002","Queen",2023-05-17,-87,37520
"Leffe","KGF002","Queen",2023-05-19,-85,37549
"Leffe","KGF002","Queen",2023-05-21,-83,37577
"Leffe","KGF002","Queen",2023-07-31,-12,38445
"Leffe","KGF002","Queen",2023-08-07,-5,38507
"Leffe","KGF002","Queen",2023-08-11,-1,38552
"Leffe","KGF002","Queen",2023-08-13,1,38569
"Leffe","KGF002","Queen",2023-09-08,27,38832
"Lion","BEF006","Sub",2023-03-24,NA,36777
"Lion","BEF006","Sub",2023-04-07,NA,36987
"Lion","BEF006","Sub",2023-04-22,NA,37193
"Lion","BEF006","Sub",2023-05-06,NA,37365
"Lion","BEF006","Sub",2023-05-08,NA,37393
"Lion","BEF006","Sub",2023-05-11,NA,37435
"Lion","BEF006","Sub",2023-05-13,NA,37467
"Lion","BEF006","Sub",2023-05-15,NA,37491
"Lion","BEF006","Sub",2023-05-17,NA,37519
"Lion","BEF006","Sub",2023-05-19,NA,37559
"Lion","BEF006","Sub",2023-05-21,NA,37584
"Lion","BEF006","Sub",2023-05-23,NA,37610
"Lion","BEF006","Sub",2023-05-25,NA,37641
"Lion","BEF036","Sub",2023-03-24,NA,36782
"Lion","BEF036","Sub",2023-04-07,NA,36986
"Lion","BEF036","Sub",2023-04-22,NA,37192
"Lion","BEF036","Sub",2023-05-06,NA,37366
"Lion","BEF036","Sub",2023-05-08,NA,37396
"Lion","BEF036","Sub",2023-05-11,NA,37436
"Lion","BEF036","Sub",2023-05-13,NA,37468
"Lion","BEF036","Sub",2023-05-15,NA,37496
"Lion","BEF036","Sub",2023-05-17,NA,37523
"Lion","BEF036","Sub",2023-05-19,NA,37553
"Lion","BEF036","Sub",2023-05-23,NA,37616
"Lion","BEF036","Sub",2023-06-05,NA,37797
"Lion","BEF036","Sub",2023-06-20,NA,38003
"Lion","BEF036","Sub",2023-07-04,NA,38190
"Lion","BEF036","Sub",2023-07-18,NA,38346
"Lion","BEF036","Sub",2023-08-01,NA,38460
"Lion","BEF036","Sub",2023-08-09,NA,38536
"Lion","BEF036","Sub",2023-08-16,NA,38603
