Date,BoxID,BoxPosition,SampleID,Comments
22/11/2021,1,1,21839,
22/11/2021,1,2,21899,
22/11/2021,1,3,21902,
22/11/2021,1,4,21910,
22/11/2021,1,5,21917,
22/11/2021,1,6,21920,
22/11/2021,1,7,21929,
22/11/2021,1,8,21930,
22/11/2021,1,9,21936,
22/11/2021,1,10,21938,
22/11/2021,1,11,21942,
22/11/2021,1,12,21944,
22/11/2021,1,13,21947,
22/11/2021,1,14,21949,
22/11/2021,1,15,21952,
22/11/2021,1,16,21954,
22/11/2021,1,17,21958,
22/11/2021,1,18,21969,
22/11/2021,1,19,21970,
22/11/2021,1,20,21973,
22/11/2021,1,21,21974,
22/11/2021,1,22,21985,
22/11/2021,1,23,21986,
22/11/2021,1,24,21988,
22/11/2021,1,25,21991,
22/11/2021,1,26,22000,
22/11/2021,1,27,22003,
22/11/2021,1,28,22006,
22/11/2021,1,29,22011,
22/11/2021,1,30,22012,
22/11/2021,1,31,22014,
22/11/2021,1,32,22015,
22/11/2021,1,33,22017,
22/11/2021,1,34,22023,
22/11/2021,1,35,22026,
22/11/2021,1,36,22029,
22/11/2021,1,37,22030,
22/11/2021,1,38,22037,
22/11/2021,1,39,22046,
22/11/2021,1,40,22047,
22/11/2021,1,41,22052,
22/11/2021,1,42,22054,
22/11/2021,1,43,22055,
22/11/2021,1,44,22056,
22/11/2021,1,45,22061,
22/11/2021,1,46,22078,
22/11/2021,1,47,22080,
22/11/2021,1,48,22081,
22/11/2021,1,49,22082,
22/11/2021,1,50,22083,
22/11/2021,1,51,22085,
22/11/2021,1,52,22086,
22/11/2021,1,53,22087,
22/11/2021,1,54,22097,
22/11/2021,1,55,22098,
22/11/2021,1,56,22107,
22/11/2021,1,57,22110,Eppendorf: 22010
22/11/2021,1,58,22113,
22/11/2021,1,59,22114,
22/11/2021,1,60,22115,
22/11/2021,1,61,22116,
22/11/2021,1,62,22122,
22/11/2021,1,63,22125,
22/11/2021,1,64,22127,
22/11/2021,1,65,22128,
22/11/2021,1,66,22129,
22/11/2021,1,67,22130,
22/11/2021,1,68,22145,
22/11/2021,1,69,22146,
22/11/2021,1,70,22147,
22/11/2021,1,71,22154,
22/11/2021,1,72,22156,
22/11/2021,1,73,22157,
22/11/2021,1,74,22160,
22/11/2021,1,75,22163,
22/11/2021,1,76,22164,
22/11/2021,1,77,22165,
22/11/2021,1,78,22166,
22/11/2021,1,79,22170,
22/11/2021,1,80,22184,
22/11/2021,1,81,22185,
22/11/2021,2,1,22186,
22/11/2021,2,2,22189,
22/11/2021,2,3,22190,
22/11/2021,2,4,22195,
22/11/2021,2,5,22204,
22/11/2021,2,6,22208,
22/11/2021,2,7,22212,
22/11/2021,2,8,22213,
22/11/2021,2,9,22215,
22/11/2021,2,10,22216,
22/11/2021,2,11,22228,
22/11/2021,2,12,22231,
22/11/2021,2,13,22238,
22/11/2021,2,14,22240,
22/11/2021,2,15,22241,
22/11/2021,2,16,22249,
22/11/2021,2,17,22250,
22/11/2021,2,18,22252,
22/11/2021,2,19,22258,
22/11/2021,2,20,22264,
22/11/2021,2,21,22265,
22/11/2021,2,22,22279,
22/11/2021,2,23,22281,
22/11/2021,2,24,22285,
22/11/2021,2,25,22286,
22/11/2021,2,26,22290,
22/11/2021,2,27,22291,
22/11/2021,2,28,22293,
22/11/2021,2,29,22294,
22/11/2021,2,30,22295,
22/11/2021,2,31,22296,
22/11/2021,2,32,22298,
22/11/2021,2,33,22299,
22/11/2021,2,34,22303,
22/11/2021,2,35,22307,
22/11/2021,2,36,22310,
22/11/2021,2,37,22315,
22/11/2021,2,38,22318,
22/11/2021,2,39,22319,
22/11/2021,2,40,22320,
22/11/2021,2,41,22323,
22/11/2021,2,42,22325,
22/11/2021,2,43,22326,
22/11/2021,2,44,22327,
22/11/2021,2,45,22331,
22/11/2021,2,46,22335,
22/11/2021,2,47,22339,
22/11/2021,2,48,22340,
22/11/2021,2,49,22342,
22/11/2021,2,50,22350,
22/11/2021,2,51,22352,
22/11/2021,2,52,22354,
22/11/2021,2,53,22356,
22/11/2021,2,54,22357,
22/11/2021,2,55,22359,
22/11/2021,2,56,22360,
22/11/2021,2,57,22361,
22/11/2021,2,58,22362,
22/11/2021,2,59,22366,
22/11/2021,2,60,22368,
22/11/2021,2,61,22374,
22/11/2021,2,62,22387,
22/11/2021,2,63,22389,
22/11/2021,2,64,22390,
22/11/2021,2,65,22392,
22/11/2021,2,66,22396,
22/11/2021,2,67,22398,
22/11/2021,2,68,22399,
22/11/2021,2,69,22400,
22/11/2021,2,70,22402,
22/11/2021,2,71,22403,
22/11/2021,2,72,22404,
22/11/2021,2,73,22407,
22/11/2021,2,74,22408,
22/11/2021,2,75,22411,
22/11/2021,2,76,22413,
22/11/2021,2,77,22419,
22/11/2021,2,78,22421,
22/11/2021,2,79,22422,
22/11/2021,2,80,22423,
22/11/2021,2,81,22426,
22/11/2021,3,1,22427,
22/11/2021,3,2,22428,
22/11/2021,3,3,22431,
22/11/2021,3,4,22437,
22/11/2021,3,5,22439,
22/11/2021,3,6,22440,
22/11/2021,3,7,22441,
22/11/2021,3,8,22444,
22/11/2021,3,9,22445,
22/11/2021,3,10,22446,
22/11/2021,3,11,22447,
22/11/2021,3,12,22464,
22/11/2021,3,13,22465,
22/11/2021,3,14,22466,
22/11/2021,3,15,22467,
22/11/2021,3,16,22468,
22/11/2021,3,17,22469,
22/11/2021,3,18,22470,
22/11/2021,3,19,22471,
22/11/2021,3,20,22472,
22/11/2021,3,21,22473,
22/11/2021,3,22,22475,
22/11/2021,3,23,22476,
22/11/2021,3,24,22477,
22/11/2021,3,25,22478,
22/11/2021,3,26,22481,
22/11/2021,3,27,22486,
22/11/2021,3,28,22487,
22/11/2021,3,29,22488,
22/11/2021,3,30,22489,
22/11/2021,3,31,22496,
22/11/2021,3,32,22497,
22/11/2021,3,33,22498,
22/11/2021,3,34,22499,
22/11/2021,3,35,22500,
22/11/2021,3,36,22503,
22/11/2021,3,37,22504,
22/11/2021,3,38,22505,
22/11/2021,3,39,22507,
22/11/2021,3,40,22508,
22/11/2021,3,41,22510,
22/11/2021,3,42,22511,
22/11/2021,3,43,22515,
22/11/2021,3,44,22517,
22/11/2021,3,45,22518,
22/11/2021,3,46,22519,
22/11/2021,3,47,22550,
22/11/2021,3,48,22551,
22/11/2021,3,49,22552,
22/11/2021,3,50,22553,
22/11/2021,3,51,22554,
22/11/2021,3,52,22556,
22/11/2021,3,53,22557,
22/11/2021,3,54,22558,
22/11/2021,3,55,22560,
22/11/2021,3,56,22561,
22/11/2021,3,57,22562,
22/11/2021,3,58,22563,
22/11/2021,3,59,22570,
22/11/2021,3,60,22571,
22/11/2021,3,61,22573,
22/11/2021,3,62,22575,
22/11/2021,3,63,22579,
22/11/2021,3,64,22581,
22/11/2021,3,65,22584,
22/11/2021,3,66,22585,
22/11/2021,3,67,22586,
22/11/2021,3,68,22587,
22/11/2021,3,69,22588,
22/11/2021,3,70,22589,
22/11/2021,3,71,22590,
22/11/2021,3,72,22591,
22/11/2021,3,73,22592,
22/11/2021,3,74,22594,
22/11/2021,3,75,22606,
22/11/2021,3,76,22608,
22/11/2021,3,77,22611,
22/11/2021,3,78,22612,
22/11/2021,3,79,22614,
22/11/2021,3,80,22617,
22/11/2021,3,81,22618,
22/11/2021,4,1,22640,
22/11/2021,4,2,22642,
22/11/2021,4,3,22644,
22/11/2021,4,4,22645,
22/11/2021,4,5,22646,
22/11/2021,4,6,22647,
22/11/2021,4,7,22648,
22/11/2021,4,8,22651,
22/11/2021,4,9,22653,
22/11/2021,4,10,22654,
22/11/2021,4,11,22659,
22/11/2021,4,12,22661,
22/11/2021,4,13,22662,
22/11/2021,4,14,22663,
22/11/2021,4,15,22664,
22/11/2021,4,16,22665,
22/11/2021,4,17,22666,
22/11/2021,4,18,22667,
22/11/2021,4,19,22668,
22/11/2021,4,20,22670,
22/11/2021,4,21,22674,
22/11/2021,4,22,22676,
22/11/2021,4,23,22680,
22/11/2021,4,24,22681,
22/11/2021,4,25,22684,
22/11/2021,4,26,22687,
22/11/2021,4,27,22688,
22/11/2021,4,28,22689,
22/11/2021,4,29,22690,
22/11/2021,4,30,22692,
22/11/2021,4,31,22693,
22/11/2021,4,32,22695,
22/11/2021,4,33,22697,
22/11/2021,4,34,22698,
22/11/2021,4,35,22713,
22/11/2021,4,36,22714,
22/11/2021,4,37,22715,
22/11/2021,4,38,22717,
22/11/2021,4,39,22718,
22/11/2021,4,40,22719,
22/11/2021,4,41,22721,
22/11/2021,4,42,22722,
22/11/2021,4,43,22725,
22/11/2021,4,44,22729,
22/11/2021,4,45,22733,
22/11/2021,4,46,22739,
22/11/2021,4,47,22743,
22/11/2021,4,48,22744,
22/11/2021,4,49,22745,
22/11/2021,4,50,22747,
22/11/2021,4,51,22748,
22/11/2021,4,52,22750,
22/11/2021,4,53,22751,
22/11/2021,4,54,22755,
22/11/2021,4,55,22761,
22/11/2021,4,56,22764,
22/11/2021,4,57,22766,
