"Treatment","ExperimentalGroup","AnimalID","BS_Original","EvictionStatus","UrineIsolationDayDiff","UrineNumber"
"Queen","Licher","VGF001","Breeder","Evictee",-2,30954
"Queen","Licher","RRF004","Helper","Evictor",0,30972
"Queen","Licher","VGF001","Breeder","Evictee",0,30974
"Queen","Stella","TSF048","Breeder","Evictor",-14,33145
"Queen","Stella","TSF048","Breeder","Evictor",-12,33175
"Queen","Stella","MIF008","Helper","Evictee",-11,33184
"Queen","Stella","TSF048","Breeder","Evictor",-10,33206
"Queen","Stella","TSF048","Breeder","Evictor",-8,33229
"Queen","Stella","TSF048","Breeder","Evictor",-6,33257
"Queen","Stella","TSF048","Breeder","Evictor",-4,33291
"Queen","Stella","TSF048","Breeder","Evictor",-2,33323
"Queen","Stella","MIF008","Helper","Evictee",0,33345
"Queen","Stella","TSF048","Breeder","Evictor",0,33350
"Queen","Tusker","COF014","Breeder","InGroup",-13,30824
"Queen","Tusker","COF014","Breeder","InGroup",-9,30872
"Queen","Tusker","KBF006","Helper","InGroup",-9,30868
"Queen","Tusker","COF014","Breeder","InGroup",-5,30917
"Queen","Tusker","KBF006","Helper","InGroup",-5,30913
"Queen","Tusker","COF014","Breeder","InGroup",-2,30953
"Queen","Tusker","COF014","Breeder","InGroup",0,30975
"Queen","Tusker","KBF006","Helper","InGroup",0,30978
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-13,35890
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-12,35910
"Queen","WicklowWolf","ORF017","Helper","InGroup",-11,35924
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-10,35943
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-8,35967
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-5,35996
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-3,36026
"Queen","WicklowWolf","VGF002","Breeder","InGroup",-1,36049
