"Sampling_Cat","ExperimentalGroup","ExperimentalUnit","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineKingRemoval_DayDiff","UrineLastParturitionOirginalGroup_DayDiff","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount_Total","NextLitter_IndCount_Colony","UrineParturition_DayDiff","GestationStatus_Trimester","UrineDate","UrineNumber"
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,-39,-65,-93,-165,-123,7,7,-39,"SecondTrimester",2021-11-14,30292
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,-31,-57,-85,-157,-115,7,7,-31,"SecondTrimester",2021-11-22,30377
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,1,-25,-53,-125,-83,8,1,-168,"NotPregnant",2021-12-24,30731
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,11,-15,-43,-115,-73,8,1,-158,"NotPregnant",2022-01-03,30793
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,13,-13,-41,-113,-71,8,1,-156,"NotPregnant",2022-01-05,30814
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,17,-9,-37,-109,-67,8,1,-152,"NotPregnant",2022-01-09,30874
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,21,-5,-33,-105,-63,8,1,-148,"NotPregnant",2022-01-13,30918
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,24,-2,-30,-102,-60,8,1,-145,"NotPregnant",2022-01-16,30954
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,26,0,-28,-100,-58,8,1,-143,"NotPregnant",2022-01-18,30974
"Slow_Conc","Licher",1,"VGF001","Queen","F","Breeder","Evictee",2022-04-28,NA,30,4,-24,-96,-54,8,1,-139,"NotPregnant",2022-01-22,31025
